iter	QueryRMSE	MAP:top=10	PrecisionAt:top=1	PrecisionAt:top=10
0	0.1913123624	0.05096074317	0.04597701149	0.04827586207
1	0.1908889558	0.07155073588	0.04597701149	0.05632183908
2	0.1904558982	0.1015955878	0.09195402299	0.05862068966
3	0.1900368234	0.114013562	0.1149425287	0.06206896552
4	0.1896866403	0.1206276987	0.1494252874	0.05977011494
5	0.1893154784	0.124341057	0.1724137931	0.0632183908
6	0.1889972024	0.1256754394	0.183908046	0.06666666667
7	0.1886712664	0.1305841898	0.1724137931	0.0724137931
8	0.1883788277	0.1292639725	0.183908046	0.06551724138
9	0.1880510947	0.1304379143	0.1954022989	0.07011494253
10	0.1877536802	0.1332053009	0.183908046	0.07356321839
11	0.1873897586	0.1355484603	0.1724137931	0.07356321839
12	0.1871202015	0.1440666856	0.1954022989	0.07471264368
13	0.1868560185	0.155213852	0.2183908046	0.07471264368
14	0.1865620213	0.1508519583	0.2183908046	0.07471264368
15	0.1862919813	0.1472206005	0.2183908046	0.07471264368
16	0.1860143731	0.1461726621	0.1954022989	0.07471264368
17	0.1857552248	0.1439675444	0.1954022989	0.07471264368
18	0.1855085175	0.1439143303	0.2068965517	0.0724137931
19	0.1852599846	0.1520417503	0.2183908046	0.07356321839
20	0.1850071841	0.15259799	0.2183908046	0.07356321839
21	0.1847511417	0.1573234051	0.2298850575	0.07356321839
22	0.1845420695	0.1596402471	0.2413793103	0.07356321839
23	0.1843023391	0.1555579629	0.2298850575	0.07701149425
24	0.184077182	0.1539582808	0.2298850575	0.07701149425
25	0.1838714636	0.1614077166	0.2528735632	0.07816091954
26	0.1836674782	0.159880851	0.2528735632	0.08045977011
27	0.1835099582	0.1623781143	0.2528735632	0.08045977011
28	0.1833273047	0.1644933761	0.2643678161	0.08045977011
29	0.1831641131	0.1675071966	0.2643678161	0.08045977011
30	0.1829822751	0.1689405573	0.2643678161	0.0816091954
31	0.182852046	0.1686440785	0.2643678161	0.0816091954
32	0.182664896	0.1641685527	0.2643678161	0.07931034483
33	0.1824603754	0.166740685	0.2643678161	0.08275862069
34	0.1822730822	0.1640269271	0.2643678161	0.08275862069
35	0.1821041808	0.1619325165	0.2528735632	0.08505747126
36	0.181905068	0.1659121826	0.2643678161	0.08735632184
37	0.1817835052	0.1659370158	0.2643678161	0.08735632184
38	0.1816162107	0.1684325686	0.2643678161	0.08735632184
39	0.1814578315	0.1655159997	0.2528735632	0.08390804598
40	0.1812653839	0.1659867167	0.2413793103	0.08620689655
41	0.1811140665	0.168958346	0.2413793103	0.08620689655
42	0.1809705759	0.1686025715	0.2413793103	0.08620689655
43	0.1808149137	0.1661380512	0.2413793103	0.08735632184
44	0.1806737476	0.1686811547	0.2413793103	0.08735632184
45	0.1805255366	0.1688468244	0.2413793103	0.08620689655
46	0.180395281	0.1713885595	0.2528735632	0.08735632184
47	0.18025543	0.1736887784	0.2528735632	0.08735632184
48	0.180144042	0.1746941454	0.2528735632	0.08850574713
49	0.1800213436	0.1736328312	0.2528735632	0.08735632184
50	0.1799179458	0.1735425192	0.2528735632	0.08735632184
51	0.1797521891	0.1745305753	0.2528735632	0.08620689655
52	0.1796465325	0.1744858754	0.2528735632	0.08620689655
53	0.1795178253	0.1745759594	0.2528735632	0.08735632184
54	0.1794150271	0.1742338685	0.2528735632	0.08735632184
55	0.1793364185	0.1741656784	0.2528735632	0.08735632184
56	0.1792112293	0.1747104174	0.2528735632	0.08850574713
57	0.1791282116	0.1746705068	0.2528735632	0.08850574713
58	0.1790247215	0.1752710663	0.2528735632	0.08850574713
59	0.1789340068	0.172454844	0.2413793103	0.08965517241
60	0.1788377617	0.171095603	0.2528735632	0.08965517241
61	0.1786902177	0.1718459223	0.2528735632	0.08850574713
62	0.1785382369	0.1723961184	0.2528735632	0.08850574713
63	0.178421803	0.1730928435	0.2528735632	0.08965517241
64	0.1783161626	0.174043856	0.2528735632	0.0908045977
65	0.1782016396	0.1763945904	0.2528735632	0.0908045977
66	0.178109592	0.1769430761	0.2528735632	0.0908045977
67	0.1780219757	0.1767001916	0.2413793103	0.09195402299
68	0.1779204506	0.1766363346	0.2413793103	0.09195402299
69	0.1778314811	0.1772311166	0.2528735632	0.0908045977
70	0.1777219023	0.1799410463	0.2528735632	0.09310344828
71	0.1776231209	0.1804154123	0.2528735632	0.09310344828
72	0.1775385595	0.1797950876	0.2413793103	0.09310344828
73	0.1774362011	0.1794604087	0.2413793103	0.09310344828
74	0.1773354583	0.1798782482	0.2413793103	0.09310344828
75	0.1772390035	0.1820813134	0.2528735632	0.09310344828
76	0.1771398614	0.1816400162	0.2528735632	0.09425287356
77	0.177043349	0.1824844919	0.2528735632	0.09310344828
78	0.1769250924	0.1821076218	0.2528735632	0.09425287356
79	0.1768283214	0.1825021666	0.2643678161	0.09425287356
80	0.176760997	0.182036923	0.2643678161	0.09425287356
81	0.1766788946	0.1829719714	0.2528735632	0.09540229885
82	0.176593893	0.1825500593	0.2413793103	0.09540229885
83	0.1765379595	0.1824542739	0.2413793103	0.09540229885
84	0.1764540285	0.1825630913	0.2413793103	0.09655172414
85	0.1763656621	0.1826321611	0.2413793103	0.09770114943
86	0.1762792898	0.1807654853	0.2413793103	0.09770114943
87	0.1762023805	0.1799171	0.2413793103	0.09655172414
88	0.1761151246	0.1818583516	0.2413793103	0.09655172414
89	0.1760307702	0.1832312762	0.2528735632	0.09655172414
90	0.1759688038	0.1831309296	0.2528735632	0.09655172414
91	0.175884865	0.1832130314	0.2528735632	0.09655172414
92	0.1758306074	0.1825562169	0.2528735632	0.09540229885
93	0.17576353	0.1811057517	0.2528735632	0.09425287356
94	0.1756903621	0.1813429347	0.2528735632	0.09425287356
95	0.1756148689	0.1815863893	0.2528735632	0.09425287356
96	0.1755482034	0.1826436782	0.2528735632	0.09655172414
97	0.1754772621	0.1848746807	0.2528735632	0.09885057471
98	0.1754094484	0.18585078	0.2643678161	0.09885057471
99	0.1753415334	0.1859784939	0.2643678161	0.09885057471
100	0.1752932393	0.1855360564	0.2643678161	0.09770114943
101	0.1752318865	0.185523285	0.2643678161	0.09770114943
102	0.1751690078	0.1853374156	0.2643678161	0.09655172414
103	0.1751247392	0.1860708584	0.2643678161	0.09655172414
104	0.1750457864	0.1855280743	0.2643678161	0.09655172414
105	0.1749712704	0.1864549124	0.2643678161	0.09770114943
106	0.174889714	0.1860193167	0.2528735632	0.1
107	0.1748189201	0.1860575169	0.2528735632	0.09885057471
108	0.174768281	0.1863859241	0.2528735632	0.09885057471
109	0.1747053737	0.1863927659	0.2528735632	0.09885057471
110	0.1746393553	0.1860795627	0.2528735632	0.09885057471
111	0.1745766879	0.1857177066	0.2528735632	0.09885057471
112	0.1745150314	0.1856751353	0.2528735632	0.09885057471
113	0.1744617852	0.1847172809	0.2528735632	0.09885057471
114	0.1743917291	0.1888117284	0.2643678161	0.1
115	0.1742995631	0.1940012467	0.275862069	0.1011494253
116	0.1742071627	0.1924700734	0.275862069	0.1011494253
117	0.1741141083	0.1929170721	0.2643678161	0.1034482759
118	0.1740535005	0.1930421253	0.2643678161	0.1034482759
119	0.1740148828	0.1945610087	0.2643678161	0.1034482759
120	0.1739539318	0.194667437	0.2643678161	0.1034482759
121	0.1738959687	0.194667437	0.2643678161	0.1034482759
122	0.1738380446	0.194332188	0.2643678161	0.1022988506
123	0.1737634987	0.1942922774	0.2643678161	0.1022988506
124	0.173718351	0.1942922774	0.2643678161	0.1022988506
125	0.173653754	0.1944758661	0.2643678161	0.1022988506
126	0.1735877471	0.1930390845	0.2528735632	0.1022988506
127	0.1735309781	0.1940315281	0.2528735632	0.1034482759
128	0.1734465196	0.1945151432	0.2528735632	0.1034482759
129	0.1733894879	0.1946043402	0.2528735632	0.1034482759
130	0.1733516288	0.1938549079	0.2528735632	0.1034482759
131	0.1732894865	0.1938172779	0.2528735632	0.1034482759
132	0.1731772701	0.1962119139	0.2643678161	0.1034482759
