,K-Means,OPTICS (косинусное расcтояние),OPTICS (евклидово раcстояние)
руль_NOUN,0,0,0
штурвал_NOUN,0,0,0
ручка_NOUN,1,-1,0
дверь_NOUN,1,-1,0
кабина_NOUN,0,0,0
кокпит_NOUN,0,0,0
шасси_NOUN,0,0,0
трансмиссия_NOUN,0,0,0
фара_NOUN,0,0,0
элерон_NOUN,1,0,0
тормоз_NOUN,0,0,0
крыло_NOUN,1,-1,0
хвост_NOUN,1,-1,0
тяга_NOUN,0,-1,0
зеркало_NOUN,1,-1,0
колесо_NOUN,0,0,0
шина_NOUN,0,0,0
покрышка_NOUN,0,0,0
кузов_NOUN,0,0,0
оперение_NOUN,1,0,0
планер_NOUN,1,0,0
машина_NOUN,0,0,0
капот_NOUN,0,0,0
бак_NOUN,1,0,0
закрылок_NOUN,1,0,0
тангаж_NOUN,1,0,0
