iter	RMSE	MAP:top=10	PrecisionAt:top=1	PrecisionAt:top=10
0	0.2008763348	0.05501242387	0.04597701149	0.04942528736
1	0.1997549694	0.1023527217	0.1264367816	0.06091954023
2	0.1986358856	0.09667271027	0.1264367816	0.05862068966
3	0.1975389577	0.1028483372	0.1149425287	0.06551724138
4	0.1965741608	0.1093734036	0.1149425287	0.06436781609
5	0.195668164	0.1105406176	0.1264367816	0.06666666667
6	0.1947518826	0.1119355247	0.1264367816	0.06666666667
7	0.1939076562	0.1262661163	0.1609195402	0.07126436782
8	0.1932376104	0.1317424588	0.2068965517	0.06781609195
9	0.1925233198	0.1350948298	0.1954022989	0.07356321839
10	0.1919127338	0.1343729203	0.2068965517	0.07471264368
11	0.1913180199	0.1353624643	0.2068965517	0.07816091954
12	0.1907986343	0.1400913111	0.2183908046	0.07931034483
13	0.1901815464	0.1352926886	0.1954022989	0.07586206897
14	0.1896742424	0.1283705072	0.1609195402	0.07701149425
15	0.1891441967	0.1263966429	0.1609195402	0.07931034483
16	0.1885883831	0.1283406059	0.1724137931	0.08275862069
17	0.1881861787	0.1285154524	0.183908046	0.0816091954
18	0.1876801928	0.1272038	0.1724137931	0.0816091954
19	0.1872466147	0.1335304283	0.1724137931	0.0816091954
20	0.186795796	0.129702609	0.1724137931	0.08045977011
21	0.1864055346	0.1288979353	0.1724137931	0.07816091954
22	0.1859891512	0.1321231679	0.1724137931	0.07931034483
23	0.1856290645	0.1326304506	0.1724137931	0.07931034483
24	0.1852956853	0.129212963	0.1724137931	0.08045977011
25	0.1849833538	0.1355749407	0.183908046	0.08045977011
26	0.1846823493	0.1346515234	0.183908046	0.0816091954
27	0.1844106669	0.1379310345	0.183908046	0.0816091954
28	0.1841643697	0.134480478	0.183908046	0.08045977011
29	0.1838654852	0.1365763547	0.183908046	0.08045977011
30	0.1835536495	0.1369173052	0.183908046	0.08275862069
31	0.1832274731	0.138870644	0.183908046	0.08275862069
32	0.1829708129	0.1375250867	0.183908046	0.08390804598
33	0.18274672	0.1372240467	0.183908046	0.08390804598
34	0.1825049979	0.139236998	0.183908046	0.08505747126
35	0.18230604	0.1398764799	0.183908046	0.08620689655
36	0.1820708621	0.1374187471	0.183908046	0.08505747126
37	0.1818185457	0.1416447095	0.183908046	0.08850574713
38	0.1815842357	0.1441716206	0.183908046	0.08965517241
39	0.181245938	0.1495150799	0.2068965517	0.08965517241
40	0.1810514636	0.1516041147	0.2068965517	0.08965517241
41	0.1808239107	0.1616182545	0.2183908046	0.08850574713
42	0.180562451	0.1599933229	0.2183908046	0.08850574713
43	0.1804058747	0.1613331788	0.2183908046	0.08850574713
44	0.1801718892	0.1620679139	0.2068965517	0.09195402299
45	0.1799531834	0.1641204591	0.2068965517	0.09195402299
46	0.1797711304	0.1616585452	0.2068965517	0.09195402299
47	0.1795572523	0.1599013385	0.1954022989	0.09195402299
48	0.1793525694	0.1595501252	0.1954022989	0.0908045977
49	0.1791071884	0.1608719896	0.1954022989	0.09195402299
50	0.1789340305	0.1596450237	0.1954022989	0.0908045977
51	0.1787151399	0.1615265234	0.1954022989	0.0908045977
52	0.1785315079	0.1668859469	0.2298850575	0.0908045977
53	0.1783614669	0.164311143	0.2183908046	0.0908045977
54	0.1781927661	0.1653368455	0.2183908046	0.09195402299
55	0.1781230708	0.1652684273	0.2183908046	0.0908045977
56	0.178025958	0.1648613392	0.2183908046	0.09195402299
57	0.1779038024	0.1659514687	0.2183908046	0.09195402299
58	0.1777518316	0.163855592	0.2183908046	0.0908045977
59	0.1776116055	0.1637518245	0.2183908046	0.0908045977
60	0.1774951072	0.1681499726	0.2298850575	0.0908045977
61	0.1773926844	0.1657234081	0.2183908046	0.0908045977
62	0.1772133082	0.1612051481	0.2068965517	0.0908045977
63	0.1770516661	0.1660046828	0.2183908046	0.09195402299
64	0.1769041156	0.1632006781	0.2183908046	0.0908045977
65	0.1767626216	0.1650513896	0.2183908046	0.09195402299
66	0.1766106121	0.1652155933	0.2183908046	0.09425287356
67	0.1764175548	0.1764384541	0.2298850575	0.09425287356
68	0.1762714833	0.1783222344	0.2298850575	0.09425287356
69	0.1761333201	0.1777974417	0.2298850575	0.09310344828
70	0.1759628436	0.1772500963	0.2298850575	0.09310344828
71	0.1757540488	0.1768860139	0.2298850575	0.09540229885
72	0.1755156962	0.1777480828	0.2298850575	0.09655172414
73	0.1753671231	0.177805098	0.2298850575	0.09655172414
74	0.1751942462	0.1775933275	0.2298850575	0.09655172414
75	0.1750602007	0.1821894322	0.2413793103	0.09655172414
76	0.1749759968	0.1830104502	0.2413793103	0.09885057471
77	0.1748174768	0.184807821	0.2413793103	0.09885057471
78	0.1747057125	0.187068408	0.2643678161	0.1
79	0.1746364519	0.1866852663	0.2643678161	0.1
80	0.1745167646	0.184673772	0.2643678161	0.1
81	0.174400135	0.1860473048	0.2643678161	0.1
82	0.1743072924	0.1866220175	0.2643678161	0.1011494253
83	0.1742050986	0.1850874232	0.2643678161	0.1011494253
84	0.1741658179	0.1864466642	0.2643678161	0.1011494253
85	0.1740678086	0.1870598938	0.2643678161	0.1022988506
86	0.174014245	0.1852992662	0.2643678161	0.1022988506
87	0.1739013161	0.1858557339	0.2643678161	0.1022988506
88	0.1737294395	0.1854315413	0.2643678161	0.1011494253
89	0.1736778889	0.1853902877	0.2643678161	0.1011494253
90	0.1735842208	0.1855818585	0.2643678161	0.1022988506
91	0.1734805099	0.1868948358	0.2643678161	0.1034482759
92	0.1733500181	0.1820834094	0.2528735632	0.1045977011
93	0.1732855757	0.1833065742	0.2528735632	0.1045977011
94	0.1732227436	0.184815575	0.2643678161	0.1034482759
95	0.1730973441	0.1874145533	0.2643678161	0.1022988506
96	0.1729970861	0.1848602749	0.2643678161	0.1022988506
97	0.1729495946	0.1906986256	0.275862069	0.1022988506
98	0.1728650238	0.1859492641	0.2643678161	0.1022988506
99	0.1727595405	0.1925098066	0.275862069	0.1034482759
100	0.1727069857	0.1875043332	0.275862069	0.1034482759
101	0.1726075227	0.1933251992	0.2873563218	0.1045977011
102	0.1724899616	0.1949927021	0.2873563218	0.1068965517
103	0.1723502286	0.1950618804	0.2873563218	0.108045977
104	0.1722566282	0.1948326035	0.2873563218	0.108045977
105	0.1721623247	0.1960022502	0.2873563218	0.108045977
106	0.1720799423	0.1964641054	0.2873563218	0.1091954023
107	0.1719478521	0.1973142827	0.2873563218	0.1091954023
108	0.1718937871	0.1973142827	0.2873563218	0.1091954023
109	0.1718262365	0.1979327829	0.2873563218	0.1091954023
110	0.1717745063	0.1979327829	0.2873563218	0.1091954023
111	0.1716811032	0.1924251201	0.275862069	0.1091954023
112	0.1716047929	0.1930484857	0.275862069	0.1091954023
113	0.1715216812	0.1938147692	0.275862069	0.1091954023
114	0.171443329	0.1938147692	0.275862069	0.1091954023
115	0.1713834381	0.1934309433	0.275862069	0.1091954023
116	0.1712741483	0.1953831418	0.275862069	0.1103448276
117	0.1711902264	0.1960057471	0.275862069	0.1103448276
118	0.1710818939	0.1962931034	0.275862069	0.1103448276
