iter	Passed	Remaining
433	1545	5576
434	1549	5572
435	1552	5568
436	1556	5565
437	1559	5562
438	1563	5558
439	1566	5554
440	1570	5550
441	1574	5548
442	1577	5543
443	1580	5540
444	1584	5536
445	1587	5532
446	1591	5529
447	1595	5526
448	1598	5522
449	1601	5517
450	1605	5515
451	1609	5510
452	1612	5507
453	1616	5503
454	1619	5500
455	1623	5497
456	1626	5492
457	1630	5489
458	1634	5486
459	1637	5482
460	1641	5478
461	1644	5475
462	1648	5471
463	1651	5468
464	1655	5463
465	1658	5461
466	1662	5457
467	1666	5453
468	1669	5450
469	1672	5446
470	1676	5442
471	1679	5438
472	1683	5435
473	1687	5432
474	1690	5428
475	1694	5424
476	1697	5420
477	1701	5418
478	1705	5415
479	1708	5411
480	1712	5407
481	1715	5403
482	1719	5399
483	1722	5395
484	1725	5391
485	1729	5388
486	1732	5383
487	1736	5380
488	1740	5377
489	1743	5373
490	1747	5369
491	1751	5366
492	1754	5362
493	1757	5358
494	1761	5356
495	1764	5351
496	1768	5348
497	1772	5344
498	1775	5340
499	1779	5337
500	1782	5333
501	1785	5329
502	1789	5326
503	1793	5323
504	1796	5319
505	1800	5315
506	1804	5312
507	1807	5307
508	1810	5304
509	1814	5300
510	1817	5297
511	1821	5294
512	1825	5291
513	1828	5286
514	1831	5282
515	1835	5278
516	1839	5275
517	1842	5271
518	1846	5269
519	1849	5264
520	1853	5261
521	1856	5257
522	1860	5253
523	1863	5250
524	1873	5262
525	1876	5258
526	1879	5254
527	1883	5250
528	1886	5246
529	1890	5242
530	1893	5239
531	1897	5236
532	1900	5231
533	1904	5227
534	1907	5223
535	1911	5220
536	1914	5216
537	1918	5213
538	1921	5209
539	1925	5205
540	1929	5202
541	1932	5198
542	1935	5194
543	1939	5191
544	1943	5187
545	1946	5183
546	1950	5180
547	1954	5177
548	1957	5172
549	1960	5169
550	1964	5166
551	1968	5163
552	1971	5158
553	1974	5154
554	1978	5151
555	1982	5148
556	1985	5144
557	1989	5140
558	1992	5136
559	1996	5132
560	1999	5129
561	2003	5125
562	2006	5122
563	2010	5118
564	2014	5115
565	2017	5112
566	2021	5109
567	2024	5105
568	2028	5100
569	2031	5096
570	2035	5093
571	2038	5089
572	2042	5086
573	2045	5082
574	2049	5078
575	2052	5075
576	2056	5071
577	2059	5067
578	2063	5064
579	2066	5060
580	2070	5056
581	2074	5053
582	2077	5049
583	2080	5045
584	2084	5042
585	2088	5039
586	2091	5034
587	2095	5031
588	2098	5028
589	2102	5024
590	2105	5020
591	2109	5017
592	2113	5013
593	2116	5009
594	2119	5006
595	2123	5002
596	2127	4999
597	2130	4995
598	2134	4991
599	2137	4988
600	2141	4984
601	2144	4980
602	2148	4976
603	2151	4973
604	2155	4970
605	2159	4966
606	2162	4963
607	2166	4959
608	2169	4955
609	2173	4952
610	2176	4948
611	2180	4944
612	2183	4941
613	2187	4938
614	2190	4934
615	2194	4931
616	2198	4927
617	2201	4923
618	2205	4919
619	2208	4916
620	2212	4912
621	2215	4909
622	2219	4905
623	2222	4901
624	2226	4897
625	2229	4894
626	2233	4890
627	2236	4886
628	2240	4883
629	2243	4879
630	2247	4875
631	2250	4872
632	2254	4868
633	2258	4866
634	2261	4861
635	2265	4858
636	2269	4855
637	2272	4851
638	2276	4848
639	2279	4844
640	2283	4841
641	2287	4837
642	2290	4834
643	2293	4830
644	2297	4826
645	2300	4822
646	2304	4818
647	2307	4814
648	2311	4811
649	2314	4807
650	2318	4804
651	2321	4800
652	2325	4797
653	2328	4793
654	2332	4790
655	2336	4786
656	2339	4782
657	2342	4778
658	2346	4775
659	2350	4771
660	2353	4768
661	2357	4764
662	2360	4760
663	2364	4757
664	2367	4753
665	2371	4750
666	2375	4746
667	2378	4743
668	2382	4739
669	2385	4736
670	2388	4731
671	2392	4728
672	2396	4724
673	2399	4721
674	2403	4717
675	2407	4714
676	2410	4710
677	2413	4706
678	2417	4703
679	2420	4699
680	2424	4696
681	2428	4692
682	2432	4689
683	2435	4686
684	2440	4685
685	2445	4683
686	2448	4680
687	2452	4676
688	2456	4673
689	2459	4669
690	2462	4665
691	2466	4661
692	2469	4657
693	2472	4653
694	2476	4650
695	2480	4646
696	2483	4642
697	2487	4639
698	2490	4635
699	2494	4632
700	2497	4628
701	2501	4624
702	2504	4621
703	2508	4617
704	2512	4614
705	2515	4610
706	2519	4606
707	2522	4603
708	2525	4599
709	2529	4595
710	2532	4591
711	2535	4586
712	2538	4582
713	2542	4579
714	2546	4575
715	2549	4572
716	2553	4568
717	2556	4564
718	2560	4561
719	2563	4557
720	2567	4554
721	2570	4550
722	2574	4546
723	2578	4543
724	2581	4539
725	2585	4536
726	2588	4532
727	2592	4528
728	2595	4525
729	2599	4521
730	2602	4518
731	2606	4514
732	2609	4511
733	2613	4507
734	2616	4503
735	2620	4500
736	2624	4496
737	2627	4493
738	2631	4489
739	2634	4485
740	2638	4482
741	2641	4479
742	2645	4475
743	2648	4471
744	2652	4467
745	2655	4464
746	2659	4461
747	2663	4457
748	2666	4453
749	2670	4451
750	2674	4447
751	2677	4443
752	2681	4439
753	2684	4435
754	2688	4433
755	2691	4429
756	2695	4426
757	2699	4422
758	2702	4418
759	2706	4415
760	2709	4411
761	2712	4407
762	2715	4403
763	2719	4399
764	2723	4396
765	2726	4392
766	2730	4388
767	2733	4385
768	2737	4382
769	2741	4378
770	2744	4374
771	2747	4370
772	2751	4367
773	2755	4363
774	2758	4360
775	2762	4356
776	2765	4353
777	2769	4349
778	2772	4345
779	2776	4342
780	2779	4338
781	2783	4335
782	2786	4331
783	2790	4327
784	2793	4323
785	2796	4319
786	2800	4315
787	2803	4311
788	2806	4308
789	2810	4304
790	2813	4300
791	2817	4297
792	2821	4293
793	2824	4290
794	2828	4286
795	2831	4283
796	2835	4279
797	2838	4276
798	2842	4272
799	2845	4268
800	2849	4264
801	2852	4261
802	2864	4269
803	2867	4265
804	2871	4262
805	2874	4258
806	2878	4254
807	2881	4250
808	2884	4246
809	2888	4243
810	2891	4239
811	2895	4236
812	2899	4232
813	2902	4228
814	2906	4225
815	2909	4221
816	2913	4218
817	2916	4214
818	2920	4211
819	2923	4207
820	2927	4203
821	2930	4200
822	2934	4196
823	2938	4193
824	2941	4189
825	2945	4185
826	2948	4182
827	2951	4178
828	2955	4174
829	2959	4171
830	2962	4167
831	2966	4163
832	2969	4160
833	2973	4156
834	2976	4153
835	2980	4149
836	2983	4146
837	2987	4142
838	2991	4139
839	2994	4135
840	2998	4131
841	3001	4128
842	3005	4124
843	3008	4121
844	3012	4117
845	3015	4113
846	3019	4110
847	3022	4106
848	3026	4102
849	3029	4099
850	3033	4095
851	3036	4091
852	3040	4088
853	3044	4085
854	3047	4081
855	3051	4078
856	3054	4074
857	3058	4070
858	3061	4067
859	3065	4063
860	3069	4060
861	3072	4056
862	3075	4052
863	3079	4048
864	3083	4045
865	3086	4041
866	3090	4038
867	3093	4034
868	3096	4030
869	3100	4027
870	3104	4024
871	3107	4020
872	3111	4016
873	3114	4012
874	3118	4009
875	3122	4005
876	3125	4001
877	3128	3998
878	3132	3995
879	3136	3991
880	3139	3987
881	3143	3984
882	3146	3980
883	3150	3976
884	3153	3973
885	3157	3970
886	3160	3966
887	3164	3962
888	3167	3959
889	3171	3955
