iter	MAP:top=10	PrecisionAt:top=1	PrecisionAt:top=10
0	0.08499559083	0.09195402299	0.04942528736
1	0.08982971477	0.1149425287	0.05287356322
2	0.1028238786	0.1034482759	0.05977011494
3	0.1258115155	0.183908046	0.06666666667
4	0.1308259974	0.1724137931	0.06896551724
5	0.1272408852	0.1609195402	0.06896551724
6	0.1289729238	0.183908046	0.0632183908
7	0.1268485395	0.1724137931	0.06666666667
8	0.1246769142	0.183908046	0.06666666667
9	0.1326662562	0.1954022989	0.07011494253
10	0.1368006142	0.2068965517	0.06896551724
11	0.1379044274	0.2068965517	0.07011494253
12	0.1369752326	0.1954022989	0.07011494253
13	0.1390426017	0.2068965517	0.07011494253
14	0.1416158092	0.2068965517	0.07126436782
15	0.1424527915	0.2068965517	0.07126436782
16	0.1432183655	0.2068965517	0.0724137931
17	0.1428960399	0.2068965517	0.0724137931
18	0.1421550964	0.2068965517	0.07126436782
19	0.1444388696	0.2183908046	0.07126436782
20	0.1419184202	0.2068965517	0.0724137931
21	0.1408387814	0.2068965517	0.07356321839
22	0.1413625606	0.1954022989	0.07471264368
23	0.1440532952	0.1954022989	0.07701149425
24	0.145337964	0.1954022989	0.07701149425
25	0.1493063701	0.1954022989	0.0816091954
26	0.1521654894	0.2068965517	0.0816091954
27	0.1457445418	0.2183908046	0.07816091954
28	0.1469787839	0.2183908046	0.08045977011
29	0.147523921	0.2183908046	0.07931034483
30	0.1566437375	0.2298850575	0.08275862069
31	0.1511412151	0.2183908046	0.08275862069
32	0.147526455	0.2068965517	0.08505747126
33	0.1512940157	0.2068965517	0.08390804598
34	0.1488446451	0.2068965517	0.0816091954
35	0.1544575778	0.2068965517	0.08505747126
36	0.1563480914	0.2068965517	0.08850574713
37	0.1531732348	0.2068965517	0.08735632184
38	0.1565632665	0.2298850575	0.08620689655
39	0.1563186716	0.2298850575	0.08735632184
40	0.1580131616	0.2413793103	0.08735632184
41	0.1644912222	0.2528735632	0.08735632184
42	0.1739705599	0.2643678161	0.08965517241
43	0.1750378834	0.2643678161	0.0908045977
44	0.1686768505	0.2528735632	0.0908045977
45	0.1711559504	0.2528735632	0.08965517241
46	0.1763671344	0.2643678161	0.08965517241
47	0.1749103161	0.2643678161	0.08735632184
48	0.1751189915	0.2643678161	0.0908045977
49	0.1726940397	0.2643678161	0.08965517241
50	0.1740384568	0.2643678161	0.08965517241
51	0.1750129433	0.2643678161	0.0908045977
52	0.1843072913	0.2873563218	0.0908045977
53	0.1830620806	0.2873563218	0.09195402299
54	0.1839563387	0.2873563218	0.08965517241
55	0.1889275071	0.2873563218	0.09425287356
56	0.1839894889	0.275862069	0.09540229885
57	0.1828259999	0.275862069	0.09655172414
58	0.1792294847	0.2643678161	0.09655172414
59	0.1799843652	0.2643678161	0.09655172414
60	0.1802454945	0.2643678161	0.09655172414
61	0.1842606276	0.2643678161	0.1
62	0.1964242636	0.2873563218	0.1011494253
